365,537,994,387,843,183,925,544,736,534;479,387,712,182,678,680,617,147,17,966
1,661,19,766,376,485,518,795,503,40;668,308,374,575,767,389,114,851,604,169
418,99,233,902,585,745,68,425,608,647;224,589,681,749,101,605,250,959,521,306
963,652,333,263,581,112,31,850,738,852;296,341,686,936,466,181,438,99,872,336
751,392,702,956,449,196,826,65,162,502;45,919,986,579,843,674,797,165,136,272
644,95,461,735,642,731,601,407,155,363;208,384,193,629,417,380,747,546,481,828
153,262,919,638,847,209,117,161,15,317;701,337,347,495,476,155,972,3,881,492
678,499,40,246,448,820,317,195,380,654;892,11,861,512,159,882,516,197,306,585
38,986,284,120,91,87,193,839,746,206;688,342,689,815,891,98,403,526,174,938
169,490,346,6,461,709,803,547,911,127;217,761,791,777,363,68,974,286,492,170
70,726,195,476,336,204,439,995,493,96;559,239,602,133,176,493,295,58,849,731
674,537,624,908,209,436,290,228,423,17;187,70,924,684,379,729,990,545,114,423
958,413,708,766,51,453,908,448,598,226;790,489,316,21,712,110,619,93,433,116
412,200,793,768,760,137,837,29,906,938;218,669,635,364,272,384,365,403,820,405
477,329,482,157,764,342,611,306,829,647;670,461,153,241,887,376,944,99,714,886
130,212,327,22,494,964,30,537,393,251;597,946,554,879,459,105,94,792,959,68
130,979,329,179,373,491,741,458,746,776;975,947,600,623,612,866,211,630,682,976
410,243,532,365,530,959,766,684,33,428;913,132,958,210,896,380,432,113,733,494
12,78,905,329,132,225,697,408,545,794;84,476,770,800,559,969,427,618,592,590
936,64,172,62,434,768,501,330,526,891;18,721,396,567,487,706,472,888,273,455
778,309,662,527,665,136,660,32,684,194;375,84,539,7,629,310,233,599,28,79
777,856,115,924,448,712,593,331,939,992;73,162,935,62,648,157,642,290,17,230
553,319,818,27,581,196,497,166,27,347;272,321,551,809,171,414,340,74,860,857
568,888,426,430,662,406,679,719,234,325;710,199,181,817,63,867,719,632,750,482
2,515,164,310,644,743,338,65,803,952;736,101,116,111,820,114,622,168,738,61
846,809,754,923,336,822,462,185,792,147;429,313,65,3,266,236,71,303,402,377
568,173,129,805,195,829,83,810,586,615;440,442,425,62,464,423,289,948,141,515
179,29,935,620,881,902,360,710,644,304;823,505,725,46,479,978,632,753,8,367
625,653,480,882,519,95,42,54,342,5;205,383,518,564,278,584,734,211,575,746
700,418,922,984,863,902,507,301,105,245;257,78,796,963,766,521,320,830,113,652
958,241,497,50,162,797,164,783,241,621;765,966,651,400,839,718,107,291,30,882
114,754,121,754,932,983,633,718,255,641;852,75,860,566,608,679,239,689,89,130
655,79,632,104,422,383,637,97,607,683;79,816,596,928,970,624,716,332,167,595
335,141,484,547,536,30,973,928,55,508;318,52,21,140,453,511,13,584,650,104
186,342,687,645,261,556,382,431,949,865;941,853,359,409,924,809,165,557,965,719
690,11,450,769,173,616,435,115,44,671;465,620,594,185,442,974,670,349,843,147
76,278,72,726,980,65,173,515,158,645;943,820,866,877,787,730,137,192,622,369
224,820,159,690,371,883,587,518,100,954;442,490,603,543,419,538,171,864,134,916
849,492,280,417,108,933,108,414,922,667;714,60,649,628,990,230,836,487,925,888
827,473,754,268,325,432,280,996,628,946;404,833,412,432,758,722,439,596,692,694
424,618,698,683,913,900,208,641,887,358;983,270,577,675,767,418,955,242,238,288
562,956,341,827,191,996,431,921,143,849;786,926,65,140,60,304,514,807,124,712
27,280,970,154,891,956,138,689,213,425;12,484,58,63,563,909,264,645,5,686
994,613,466,117,98,805,276,166,852,240;352,945,793,223,5,335,498,195,124,725
571,203,198,5,114,684,381,642,323,990;157,22,365,215,852,985,77,661,821,59
424,976,711,60,192,865,557,389,394,980;428,144,8,48,936,491,926,407,253,989
162,229,465,694,789,806,160,69,123,683;946,376,345,992,578,322,311,654,917,557
7,505,647,669,117,610,641,135,530,766;600,388,613,355,889,453,927,616,30,552
873,120,288,828,610,192,456,551,365,623;740,816,65,373,582,15,265,412,269,606
744,671,785,796,852,24,240,106,704,671;743,896,393,25,42,102,758,612,744,47
113,697,279,601,365,392,692,287,405,167;943,604,933,885,115,586,674,108,44,250
95,43,763,698,296,830,268,349,729,329;265,782,683,5,588,622,31,66,87,308
812,592,423,96,16,508,337,385,734,235;707,794,887,890,805,237,665,553,641,967
276,786,280,111,903,498,967,688,396,494;36,18,358,757,553,305,448,528,851,530
7,97,193,25,561,657,96,112,161,405;466,962,67,251,840,314,397,68,958,686
31,381,886,411,908,634,121,425,162,534;302,775,671,729,218,844,853,482,147,608
250,221,437,364,15,192,517,940,187,733;686,791,527,311,536,842,666,659,87,430
907,674,11,966,304,658,786,11,915,324;140,628,402,666,721,874,903,95,20,632
380,113,20,876,824,63,126,834,740,281;923,586,95,911,859,256,14,1000,230,975
219,469,821,413,987,433,322,837,84,305;536,313,363,991,131,416,380,341,172,289
122,380,588,398,707,968,169,799,482,695;723,656,442,855,951,305,767,9,117,190
849,504,727,172,528,672,125,524,216,407;812,314,707,561,154,154,97,32,138,238
180,464,682,771,572,897,363,603,813,805;153,776,497,638,609,746,232,369,171,623
740,23,769,921,139,194,997,100,313,626;158,145,613,31,27,271,941,17,16,407
640,462,794,25,886,777,601,141,420,860;430,604,555,92,7,508,406,27,923,904
16,587,333,276,409,356,118,117,127,92;331,253,889,478,596,381,278,530,459,83
437,916,914,814,184,987,134,192,44,370;804,33,188,796,951,432,662,84,326,683
582,464,676,56,450,658,458,708,370,470;456,443,968,425,609,278,611,364,591,669
690,889,420,762,842,825,320,733,4,837;534,847,156,188,726,420,226,534,709,646
82,213,77,640,465,334,250,222,516,150;826,253,898,246,41,271,383,569,478,167
377,409,305,195,817,702,657,726,960,279;641,148,549,253,292,31,125,416,287,893
935,803,462,833,703,207,951,439,994,642;490,930,312,151,273,240,263,178,544,895
873,429,85,405,719,371,331,741,997,420;174,70,979,382,801,489,550,683,473,632
779,842,108,867,662,695,529,369,598,817;432,30,225,357,494,410,253,765,225,878
114,985,832,261,15,733,169,461,646,220;207,213,687,959,24,691,184,128,646,611
178,741,31,470,316,160,499,561,154,852;50,465,441,9,83,362,880,939,600,892
823,162,877,765,742,645,444,432,456,494;262,992,722,606,498,458,556,956,102,353
903,508,594,917,65,937,251,576,965,687;796,193,198,88,582,458,911,688,870,672
827,876,195,954,747,546,785,731,410,453;81,240,410,525,482,935,454,173,913,253
558,538,457,996,545,816,486,466,725,636;401,932,729,736,98,537,692,142,105,94
815,136,401,77,648,21,116,474,381,422;168,350,113,987,600,140,750,876,771,898
139,80,81,271,954,661,349,408,18,628;541,617,711,523,854,501,842,259,697,662
294,954,643,298,300,169,148,685,716,214;551,650,952,426,317,241,363,989,109,610
407,601,128,119,244,36,380,456,836,789;706,590,824,509,780,804,379,685,735,53
834,987,836,536,421,427,650,929,28,478;938,947,350,705,242,353,467,575,631,398
795,600,451,981,368,118,927,302,931,95;301,532,719,206,480,129,452,631,655,775
917,615,328,366,837,210,340,859,254,798;605,843,272,667,122,438,222,445,65,378
249,285,173,705,289,724,950,234,692,473;39,621,425,867,394,846,600,726,627,974
713,646,813,653,897,109,781,104,369,968;355,157,820,92,341,589,849,889,59,151
892,836,198,264,503,938,808,126,807,958;608,285,515,500,804,948,708,454,930,245
879,47,199,99,162,912,597,978,499,79;611,851,918,76,326,971,67,779,418,738
220,144,772,492,971,698,627,562,631,952;960,301,634,63,372,660,685,810,750,493
410,353,705,571,636,888,391,781,271,739;47,861,103,972,496,824,823,706,765,247
492,341,313,349,997,509,540,397,577,874;979,214,911,584,990,474,303,13,259,761
458,611,370,970,573,491,716,880,283,327;83,427,708,563,574,476,35,930,328,978
554,158,642,923,845,822,966,395,428,937;459,76,261,5,959,876,535,159,515,947
475,954,482,839,569,91,394,635,41,302;813,284,153,507,777,409,456,492,554,633
174,491,516,293,280,78,484,189,513,179;427,460,508,604,874,414,306,912,317,176
159,829,928,497,839,981,880,993,698,254;59,763,744,750,40,183,906,385,528,557
352,592,519,633,595,960,783,53,885,304;67,371,867,969,665,689,972,781,804,130
743,169,517,671,428,716,10,503,395,931;719,733,900,580,843,925,411,191,99,93
637,549,991,46,150,861,482,237,696,778;133,193,224,722,376,78,132,440,116,316
22,323,51,334,828,399,31,782,537,640;597,548,572,771,177,203,928,280,993,734
78,431,937,942,741,41,393,545,256,679;619,233,294,560,291,559,144,4,564,472
107,805,830,638,6,457,145,193,672,972;587,968,93,45,338,24,145,184,926,126
121,963,646,332,121,454,58,203,429,550;179,636,226,689,947,277,727,439,379,599
743,803,853,866,769,554,333,491,128,24;422,251,272,107,727,939,950,98,95,218
26,186,1,453,446,55,79,516,338,653;551,979,261,332,311,393,79,404,632,447
155,20,201,862,72,120,399,736,91,969;62,478,334,668,67,901,720,818,66,86
294,620,996,412,939,955,861,16,117,350;507,171,669,822,692,590,787,148,637,822
913,781,172,826,766,517,501,451,851,269;365,877,117,191,889,507,929,202,900,376
278,146,699,819,126,858,874,644,914,905;121,655,169,332,647,559,535,256,526,928
487,988,237,927,561,380,952,274,478,519;931,444,749,962,965,121,700,48,985,47
591,17,789,436,965,73,41,630,840,676;502,550,54,702,631,562,149,123,453,317
636,939,411,958,125,371,320,71,970,772;475,231,661,970,39,204,662,953,587,111
750,460,984,793,927,646,62,182,509,37;877,283,92,158,37,811,684,946,129,395
463,512,158,929,893,531,455,512,335,862;860,309,818,254,616,142,9,794,525,855
642,375,523,844,385,7,972,654,769,188;769,401,212,913,265,740,760,481,416,35
229,469,889,756,348,357,860,603,762,227;632,817,635,214,969,107,470,957,382,197
479,349,564,937,221,653,537,58,957,683;578,70,189,4,956,47,381,93,874,910
535,426,419,125,693,216,244,222,677,548;296,169,108,748,772,450,304,38,6,364
737,113,770,327,346,174,785,195,598,83;123,815,632,462,387,150,219,474,144,401
967,887,971,619,228,554,312,845,49,797;394,156,979,533,209,329,300,119,726,489
669,854,597,536,916,834,283,551,616,560;487,925,819,634,574,457,624,921,215,907
827,627,261,373,232,367,303,6,979,572;853,874,872,615,84,857,890,523,969,958
574,293,608,774,428,133,943,348,610,998;926,189,964,768,533,506,492,576,155,914
23,534,138,826,624,175,65,900,6,572;394,192,343,147,585,956,348,341,713,307
56,274,11,436,219,633,154,569,34,411;4,537,651,657,754,411,855,334,362,782
910,669,207,112,288,737,683,274,360,802;526,862,827,400,679,204,624,355,523,983
391,304,233,116,891,574,532,960,254,173;924,410,652,759,253,250,938,909,832,46
19,41,291,266,92,940,21,901,770,112;963,425,609,526,964,395,693,719,25,417
785,510,241,685,825,56,952,376,952,294;784,994,661,217,691,786,527,724,173,669
236,891,900,92,610,843,860,14,977,301;121,823,490,763,499,509,281,210,371,978
220,553,39,173,251,232,323,501,602,439;534,892,404,321,293,585,583,864,417,153
441,776,531,191,397,640,701,772,30,97;6,779,529,29,436,69,527,1,437,711
358,243,995,742,298,462,399,847,329,667;878,481,246,834,779,212,226,520,741,663
326,690,684,498,280,394,92,757,20,981;19,967,896,464,73,531,637,486,810,172
932,664,319,763,952,718,326,654,968,254;450,761,634,850,391,389,543,807,120,896
162,885,450,873,844,746,409,415,204,816;390,725,14,405,197,766,575,390,921,997
266,301,114,230,226,511,258,861,66,902;439,125,382,910,230,956,74,927,233,980
314,414,214,566,585,777,282,532,323,185;188,635,163,258,30,664,758,784,489,21
911,839,289,661,687,86,558,476,871,629;179,656,609,120,718,98,445,354,528,792
977,439,1000,221,53,312,978,272,42,287;590,664,720,172,272,17,55,246,795,378
719,929,20,970,885,140,631,633,928,357;18,283,126,610,598,103,485,11,864,74
952,795,564,970,920,329,83,278,862,854;218,918,667,300,329,135,995,315,379,73
940,834,559,643,635,282,821,579,89,867;624,360,659,505,914,836,269,425,904,325
498,5,321,603,828,552,691,214,563,235;277,162,187,381,918,929,871,411,938,139
400,665,874,963,316,284,24,319,848,433;368,305,654,615,466,370,636,230,890,976
730,77,22,394,258,108,825,41,301,672;487,240,232,694,26,664,208,632,632,639
215,58,48,59,271,627,169,194,798,142;383,691,151,373,260,862,827,548,946,811
293,135,725,613,992,833,314,837,710,674;612,769,394,332,318,443,585,233,979,228
40,793,889,100,320,121,684,675,207,50;113,493,269,539,97,401,718,187,50,580
427,223,795,38,219,636,441,170,600,457;996,714,853,193,723,62,139,215,230,52
600,456,718,878,741,662,64,698,993,541;925,577,323,725,802,883,362,522,371,14
523,517,998,515,481,464,872,666,350,68;598,70,642,873,367,909,83,405,686,630
975,820,720,529,437,246,401,256,744,654;302,949,837,53,153,705,350,190,100,383
433,861,512,525,183,233,376,100,703,949;921,719,162,656,937,292,969,816,734,786
962,518,782,516,493,831,724,637,312,97;650,743,524,352,359,49,57,837,165,739
248,60,422,788,618,656,27,303,235,296;513,531,807,628,23,364,868,617,166,339
210,725,441,882,330,859,661,622,212,845;244,525,602,176,954,806,105,599,789,986
492,620,370,130,906,153,910,685,651,286;916,474,673,747,776,537,697,444,717,108
652,831,937,720,878,186,914,713,915,192;304,317,186,275,181,612,639,728,541,120
237,156,457,91,378,777,543,988,341,764;622,963,297,833,548,910,529,849,804,69
502,197,14,390,353,669,117,865,768,425;458,650,423,887,543,50,591,569,910,136
849,350,281,69,72,205,421,728,645,763;93,333,556,320,119,725,643,821,708,482
548,38,811,489,917,952,452,204,447,820;551,241,749,370,32,777,652,56,537,675
596,533,446,311,79,646,428,145,528,672;227,455,75,773,371,326,772,223,918,636
578,924,225,762,773,578,658,710,445,251;612,775,26,944,928,671,787,330,891,311
571,707,517,354,165,645,932,221,731,60;834,642,533,316,249,940,485,31,172,696
262,523,849,42,701,551,200,755,577,445;349,206,181,387,657,681,668,676,682,821
748,147,160,312,664,617,161,868,465,230;344,175,870,333,415,479,501,669,749,275
366,708,624,97,591,864,772,911,616,183;982,731,79,623,569,200,18,131,614,509
293,894,92,59,182,136,146,735,420,995;126,669,940,527,762,113,45,167,828,339
164,71,481,204,931,851,818,797,526,211;457,542,377,483,883,992,599,626,10,651
778,274,905,529,619,394,171,105,532,727;133,575,616,285,361,887,134,479,770,240
962,804,224,422,979,588,146,676,676,580;740,275,688,650,251,524,171,889,632,703
986,517,773,472,716,116,596,351,608,285;472,722,716,137,888,469,850,781,728,690
964,945,902,493,900,877,729,603,509,906;149,940,554,677,803,573,494,802,97,197
662,243,2,905,568,890,783,471,498,585;721,799,461,122,687,280,785,264,397,577
663,393,536,426,509,831,230,1,274,977;577,774,556,232,623,698,945,661,406,141
909,472,573,93,59,523,430,651,744,862;30,942,441,676,150,973,290,421,962,257
427,291,554,877,2,620,345,916,175,786;731,627,314,739,94,246,832,952,760,818
199,383,419,634,486,907,724,148,222,24;475,513,45,165,753,891,583,126,522,447
570,969,597,160,868,620,373,283,362,799;543,555,322,220,451,908,743,616,47,361
364,934,935,323,653,914,625,618,813,168;682,108,518,176,255,792,840,428,983,424
366,420,237,738,875,711,236,469,995,806;38,716,71,708,525,532,175,869,398,519
300,42,974,813,399,306,346,225,266,166;373,211,996,238,157,497,968,591,412,864
340,561,987,590,424,454,586,792,579,238;812,996,854,198,374,970,311,525,200,452
633,574,875,458,130,419,517,392,973,785;263,239,428,716,386,375,930,655,911,971
6,532,314,770,814,340,539,113,531,269;182,398,967,667,540,564,238,993,752,13
443,928,895,362,397,95,978,839,771,146;240,922,524,90,954,103,14,633,977,180
382,898,5,717,40,832,513,122,28,76;327,264,488,245,4,993,990,463,262,266
428,518,729,907,655,54,424,246,944,479;57,695,678,752,316,490,407,647,978,84
386,743,539,523,422,379,50,463,715,822;977,96,252,405,863,349,903,598,693,246
553,580,367,734,869,20,576,531,422,327;284,187,903,15,810,952,947,989,583,760
48,710,331,62,549,604,539,935,271,599;1,499,144,549,906,296,330,338,821,76
557,512,905,421,973,794,66,317,227,393;822,105,706,154,73,746,654,279,990,567
568,88,800,823,574,405,794,993,811,228;417,400,156,111,462,321,949,914,139,472
948,918,850,809,822,529,694,74,348,798;943,758,507,685,555,100,310,548,312,256
876,759,719,10,639,481,427,406,617,401;754,936,989,99,662,303,787,608,36,174
766,1000,618,522,496,252,655,103,604,13;567,377,303,504,715,564,31,936,207,803
731,809,755,480,796,6,175,335,825,228;202,803,260,778,146,672,258,434,862,305
109,448,878,609,941,4,870,540,911,871;654,604,194,212,625,831,488,464,918,893
395,765,982,216,558,438,110,447,308,643;536,487,447,442,937,481,738,888,808,555
334,305,451,803,111,836,412,732,350,614;748,569,445,322,38,201,246,496,1000,656
156,374,76,523,761,902,572,670,632,914;898,252,843,824,777,760,706,950,734,734
675,107,791,915,123,821,654,848,758,487;968,197,420,959,542,305,942,922,287,531
402,620,527,995,369,78,825,959,885,596;786,215,24,656,962,578,432,515,392,731
584,299,826,973,684,196,504,256,346,67;825,810,327,193,460,250,499,639,510,829
302,690,323,649,151,853,641,935,666,869;436,874,204,35,248,287,277,334,764,871
957,217,440,716,13,295,194,282,967,305;898,708,787,128,809,209,623,699,887,710
952,256,673,518,268,228,724,912,210,321;471,320,555,776,38,243,87,166,609,896
28,867,315,758,611,161,506,855,7,337;365,307,307,487,715,795,911,711,732,650
519,85,484,715,99,754,158,91,997,371;49,388,488,446,783,216,348,555,974,936
883,674,776,586,102,360,274,889,226,285;593,562,23,237,104,587,471,955,60,62
520,879,518,943,201,179,43,595,852,213;966,420,529,944,188,707,427,870,221,262
94,588,834,974,899,765,935,728,133,931;440,783,268,865,925,822,255,750,755,419
586,847,359,157,412,619,16,555,554,753;984,73,376,359,703,191,461,926,143,779
317,206,436,992,818,690,594,156,480,209;803,230,387,828,889,579,264,68,121,964
993,658,700,232,109,205,298,53,430,417;99,28,801,71,780,68,533,42,510,865
778,651,378,142,506,575,976,327,475,295;419,157,799,415,494,297,511,150,364,962
150,478,218,350,537,962,973,413,52,982;21,221,834,271,832,657,327,283,929,120
836,462,581,371,129,98,168,193,242,151;790,329,849,147,959,186,505,755,86,781
161,338,790,398,530,57,84,914,281,270;374,202,931,168,104,749,238,422,673,357
226,866,796,545,569,104,298,585,737,495;61,614,548,962,851,572,181,588,741,673
652,209,798,609,166,648,594,223,920,576;966,994,785,310,990,62,828,399,217,680
901,556,444,130,684,497,411,8,904,224;312,513,783,430,331,394,711,273,601,543
674,317,595,683,735,921,526,376,260,975;192,598,101,814,622,420,421,625,436,298
943,377,592,623,51,8,276,805,948,118;103,428,633,903,370,797,614,589,511,575
728,169,644,745,387,432,515,842,183,376;265,534,496,222,391,857,143,42,137,145
982,913,987,548,937,588,510,531,934,489;712,626,893,350,729,513,941,872,338,307
697,538,90,863,472,811,234,196,957,802;673,380,3,297,346,554,280,527,770,772
65,21,751,221,167,751,157,228,206,895;918,426,492,681,691,740,39,985,807,761
803,359,546,722,559,451,39,437,963,144;1,336,962,515,240,159,719,848,631,632
58,374,761,118,547,836,638,200,399,873;824,468,659,74,705,494,694,825,504,155
125,859,321,764,995,642,503,68,354,504;192,807,671,377,738,898,779,241,559,198
550,128,748,673,218,99,393,882,290,596;34,858,812,476,250,469,856,354,248,412
671,974,700,209,919,644,840,698,551,976;308,195,675,932,614,616,514,387,863,595
234,504,286,753,871,41,522,439,156,203;122,171,638,127,847,685,290,734,409,153
469,488,852,361,536,504,106,995,242,286;948,649,365,943,558,561,468,732,77,68
627,135,479,269,224,515,581,725,867,37;876,381,294,737,500,652,998,217,806,22
4,900,407,993,251,263,881,404,290,383;915,630,439,135,22,989,537,100,572,20
195,319,854,305,512,53,507,323,375,493;449,120,584,978,464,616,562,197,795,779
125,883,627,145,784,979,334,254,725,218;11,544,659,221,760,256,851,764,38,297
177,771,941,708,481,298,60,149,734,171;503,373,910,372,567,345,546,930,730,813
293,977,102,396,561,369,585,100,905,28;391,959,511,968,304,368,730,21,254,821
660,899,715,771,659,632,144,790,843,597;511,643,738,521,71,8,474,175,367,804
900,507,521,867,643,935,536,842,398,262;948,595,830,69,601,662,97,522,538,296
604,862,742,80,969,393,638,875,660,506;22,894,767,218,649,837,615,95,746,191
522,516,392,642,155,281,180,194,794,742;623,913,949,24,638,878,739,957,560,369
350,970,470,587,749,733,421,813,322,316;680,367,559,714,489,828,543,396,174,617
636,819,678,201,528,680,901,185,516,479;436,59,393,203,317,102,321,703,434,145
2,50,823,299,486,8,452,726,992,739;55,109,47,87,241,857,962,837,225,378
244,914,112,725,135,317,75,702,131,275;584,945,911,825,960,724,578,606,395,581
208,772,619,309,466,68,95,640,286,605;752,367,894,367,339,988,997,659,437,648
510,833,988,263,695,52,414,947,553,870;758,737,190,362,784,36,195,185,621,554
658,794,927,626,41,432,430,412,321,259;910,496,973,701,607,326,833,89,388,975
483,669,840,737,468,529,316,611,131,162;823,654,10,866,131,726,378,71,286,674
153,471,126,890,529,374,213,803,454,821;104,70,230,400,440,845,15,676,140,212
804,856,415,873,385,747,488,377,323,53;569,810,584,847,56,796,139,271,651,73
29,373,555,835,425,511,990,92,597,10;739,18,842,594,428,397,81,473,262,292
894,28,822,161,677,309,82,878,617,200;130,71,241,149,615,840,415,939,34,953
212,469,225,800,123,682,54,957,985,582;709,712,149,786,992,821,309,421,85,658
346,75,125,963,38,94,798,408,74,68;476,33,574,567,24,964,639,93,770,583
332,460,932,154,957,327,823,919,971,247;756,995,869,935,693,757,359,399,755,378
642,131,968,788,44,835,373,535,355,4;483,376,222,726,453,823,404,580,568,552
527,570,49,778,602,618,587,332,612,253;229,545,153,1,448,583,851,901,81,503
54,479,953,980,251,909,940,135,311,248;322,868,864,71,771,982,185,211,761,404
525,558,561,994,365,39,52,390,400,904;792,824,807,844,110,344,934,769,942,932
990,541,971,647,525,172,294,609,720,238;459,413,978,638,643,140,992,612,209,218
499,346,538,969,529,651,783,665,387,964;792,921,703,833,871,294,962,924,871,647
283,646,314,406,473,454,937,742,534,672;668,299,569,316,40,403,142,909,516,897
494,242,637,417,532,773,724,463,906,798;284,549,174,864,818,924,558,274,902,880
461,914,302,652,526,372,450,820,99,399;216,975,818,847,242,556,604,105,546,350
632,864,839,813,352,362,925,619,325,820;243,505,600,576,360,394,453,247,934,590
991,21,258,632,728,670,253,10,110,337;791,30,15,521,417,148,446,561,490,645
831,246,751,776,778,11,40,965,549,942;973,778,936,535,482,334,292,228,197,602
922,818,759,277,654,148,854,95,872,616;868,783,674,619,247,367,240,43,724,380
239,305,506,7,614,105,48,432,127,210;522,972,492,926,660,89,381,183,489,795
591,500,610,277,769,878,168,437,905,125;178,449,276,864,75,822,743,429,211,989
999,946,478,285,426,359,375,297,637,924;445,161,224,616,649,791,99,668,691,103
310,66,613,912,145,71,790,141,746,678;487,944,558,221,206,567,122,569,91,583
965,972,368,915,677,964,828,631,651,938;390,431,949,894,58,926,499,660,162,414
576,125,535,480,856,340,668,957,858,879;767,956,739,292,824,986,276,633,90,810
340,686,338,13,923,59,735,383,454,537;488,111,567,283,786,519,908,790,121,274
909,662,107,677,302,48,32,132,111,844;216,576,901,454,624,1,538,533,576,865
911,666,536,31,166,860,791,289,587,842;45,713,443,662,227,808,244,372,180,737
213,349,426,380,305,296,152,966,612,814;679,519,410,871,853,141,38,611,458,787
680,696,834,958,98,298,424,396,156,856;140,283,541,192,699,76,77,940,818,9
453,240,245,847,14,507,45,32,685,560;505,719,149,824,468,676,771,810,718,799
183,478,551,79,430,765,454,381,522,168;445,875,465,912,150,725,54,346,92,637
689,690,722,814,532,807,271,581,357,646;664,290,323,720,175,581,268,288,643,462
306,303,232,465,842,292,628,830,815,533;749,889,778,401,683,255,313,856,279,488
261,965,632,499,264,562,208,546,842,156;447,45,539,303,937,830,171,117,353,462
97,139,6,370,493,365,920,229,800,661;65,433,445,865,785,894,600,458,681,381
639,888,835,490,781,387,881,253,81,298;869,659,315,539,509,47,723,134,963,390
717,274,911,555,459,683,183,709,514,928;869,219,547,532,289,67,447,568,549,852
395,818,277,286,931,982,919,454,2,905;459,841,782,630,541,580,499,594,57,117
187,673,800,445,32,5,95,105,816,493;380,167,20,697,559,505,893,764,123,836
663,196,955,96,343,624,769,797,39,209;582,471,119,606,829,996,801,556,976,324
11,735,424,928,691,440,801,115,885,431;989,165,127,514,62,316,205,339,547,390
650,270,487,682,214,102,606,105,545,733;46,872,254,161,831,409,40,370,549,651
947,101,375,411,169,319,126,407,411,847;119,835,654,978,152,169,889,94,301,311
752,719,834,306,693,340,183,240,928,991;985,821,514,507,575,76,408,555,199,798
657,165,476,124,681,509,190,710,901,663;405,77,341,606,71,306,685,992,298,107
681,560,364,437,712,608,351,128,644,306;552,997,732,158,942,653,706,667,868,996
758,719,184,17,364,589,904,860,350,513;139,81,295,505,365,58,25,40,831,422
476,269,496,898,601,5,419,315,198,429;599,145,522,853,836,411,281,617,502,728
389,193,274,260,866,92,859,44,662,952;55,3,64,175,355,287,820,444,106,614
432,399,89,738,990,125,30,202,965,292;357,132,887,247,956,191,319,48,142,701
924,369,378,369,948,52,725,197,56,397;13,706,298,467,652,23,192,405,909,153
245,244,246,232,966,90,591,303,225,641;938,377,791,811,841,472,981,975,201,573
164,947,603,10,991,563,822,197,534,877;103,558,487,166,17,608,351,74,464,406
383,190,655,574,768,938,807,86,996,594;594,584,229,346,370,721,868,690,365,61
562,456,757,571,968,75,12,250,705,590;428,311,213,127,885,810,108,684,764,263
818,384,146,439,165,619,107,142,905,33;864,232,427,284,863,273,145,350,671,800
76,831,816,11,981,715,101,171,814,931;801,577,885,242,227,561,163,355,522,761
435,350,542,131,793,268,768,712,251,340;387,803,907,662,820,967,896,564,64,981
259,254,384,482,295,730,472,969,353,3;91,995,156,979,408,716,389,79,845,462
687,676,675,338,57,883,112,943,151,506;662,964,873,111,735,334,279,459,902,510
508,341,807,904,219,119,515,956,954,526;653,335,607,297,350,619,9,598,41,276
410,922,690,60,773,415,102,817,522,395;408,682,499,880,783,4,439,163,896,111
440,443,861,223,7,625,45,854,712,635;529,434,75,799,303,973,332,501,161,55
822,266,203,201,278,316,490,180,875,941;216,822,385,406,924,16,731,749,157,21
285,768,344,761,63,690,702,16,878,363;395,240,763,149,789,603,886,873,147,618
917,953,659,893,796,447,900,114,320,433;941,127,972,398,810,717,459,302,780,795
812,315,292,371,800,791,562,270,812,663;350,511,234,669,785,20,532,762,301,256
140,36,36,944,903,697,813,655,150,532;601,623,348,68,313,343,748,761,830,638
634,115,500,182,334,660,6,505,246,336;484,650,76,13,348,710,526,413,812,490
102,906,264,306,955,378,936,422,883,875;551,180,877,356,776,529,148,202,192,593
877,152,912,93,197,152,645,572,256,289;909,22,523,17,912,156,184,836,303,880
601,942,287,465,361,110,341,461,152,682;844,972,557,257,893,235,621,790,842,748
417,315,330,371,394,172,836,74,33,175;181,802,511,551,946,223,4,695,801,118
120,119,835,87,515,988,318,277,127,947;167,475,974,667,245,663,424,480,877,310
654,430,840,541,768,168,835,994,662,85;197,990,619,800,467,251,800,492,729,987
708,342,486,748,218,81,483,596,475,325;47,887,89,213,683,389,234,439,119,920
811,880,288,855,55,500,42,781,863,462;768,359,805,607,775,64,480,480,244,647
352,388,440,10,43,451,274,276,388,510;857,491,252,353,765,728,309,532,504,237
783,171,887,167,365,716,467,185,270,905;652,969,230,742,553,254,456,419,837,167
253,301,970,611,696,23,278,573,574,167;328,182,220,21,325,712,991,135,617,490
934,132,962,773,853,1,572,439,743,105;39,942,614,933,258,484,973,726,495,899
530,223,855,957,462,937,357,367,212,813;517,91,948,642,850,754,52,890,933,942
410,553,474,429,964,113,367,837,342,940;692,363,354,394,608,131,120,401,477,735
590,211,571,588,289,727,334,902,768,321;305,44,288,179,722,814,707,857,873,318
320,948,947,735,789,247,139,860,494,598;162,533,948,52,808,648,197,226,344,54
914,155,825,547,463,938,954,65,583,878;700,226,31,546,316,387,57,727,479,263
342,774,665,608,101,486,529,866,275,525;144,872,584,691,206,628,359,991,954,814
583,654,993,389,359,518,501,409,115,267;9,945,804,137,291,857,806,3,723,866
144,708,658,700,495,227,786,559,788,671;115,774,985,60,440,44,267,943,538,741
